"id","date","Temperature","Humidity","Light","CO2","HumidityRatio","Occupancy"
997,"02/03/15 4:36",20.39,22.445,0,435.5,0.003318583,0
9290,"02/12/15 9:53",22.89,24.175,628.5,1035.5,0.004170641,1
1252,"02/05/15 14:42",22.245,28.245,525.5,1019.5,0.004689486,1
15506,"02/16/15 17:30",21.96333333,30.2,433,973.3333333,0.004930626,1
8826,"02/12/15 2:10",20.5,25.79,0,548,0.003842352,0
10289,"02/13/15 2:32",21,24.745,0,576.5,0.003801705,0
13440,"02/15/15 7:04",20,31.945,0,585.5,0.004620224,0
14360,"02/15/15 22:24",20.29,31,0,718,0.004564319,0
16740,"02/17/15 14:04",21.79,33.925,433.5,1205.5,0.005485333,1
7700,"02/10/15 2:10",20.245,32.895,0,456.5,0.00483194,0
3954,"02/07/15 11:44",22.7,17.6,345.5,453.75,0.002995924,0
9091,"02/12/15 6:35",20.5,22.55,0,608,0.003357031,0
5403,"02/08/15 11:53",19.1,30.92666667,31,433,0.004226923,0
932,"02/05/15 9:22",22,25.519,505.75,939.375,0.004170647,1
15572,"02/16/15 18:36",21.5,30.2,0,883,0.004791887,0
2630,"02/04/15 7:49",20.6,24.1,414.6,514.6,0.003611448,0
12136,"02/14/15 9:20",20,36.4,9.333333333,502,0.005270012,0
259,"02/04/15 22:08",21.39,25.7,0,485,0.004045656,0
481,"02/05/15 1:51",21.125,25.1,0,445.75,0.003886501,0
13610,"02/15/15 9:53",21.7,28.815,392,640.5,0.004627203,0
7326,"02/09/15 19:56",20.63333333,35.23,0,1018,0.005304484,0
2454,"02/06/15 10:44",21.6,21.0225,499,840,0.003348428,1
9174,"02/12/15 7:58",20.5,22.29,0,800.5,0.003318119,0
7789,"02/10/15 3:39",20.2,32.9,0,451.5,0.004819147,0
902,"02/03/15 3:01",20.5,22.315,0,437,0.00332186,0
2552,"02/06/15 12:22",21.79,20.2675,489,805,0.003265458,1
16306,"02/17/15 6:49",20.5,30.39,0,754,0.004532682,0
11619,"02/14/15 0:42",19.945,34.5,0,504.5,0.004975601,0
11224,"02/13/15 18:08",21.29,32.645,0,586,0.005116252,0
17111,"02/17/15 20:15",21,34.09,0,1472,0.005249544,0
945,"02/05/15 9:35",22.1,26.05,476,1008,0.004284246,1
11509,"02/13/15 22:53",20.15,31.79,0,506.5,0.004640854,0
17010,"02/17/15 18:34",21.84,34.145,0,1499,0.005538259,0
4358,"02/07/15 18:28",20.29,22.7,0,436,0.003335705,0
12418,"02/14/15 14:02",20.39,35.5,31,508.5,0.005265156,0
17780,"02/18/15 7:24",20.745,27.1,0,1456,0.004100659,0
12662,"02/14/15 18:06",19.89,35.5,0,514,0.005103437,0
15765,"02/16/15 21:49",20.29,30.2,0,728.5,0.004445688,0
2818,"02/06/15 16:47",21.79,21.82333333,460,953,0.003517549,1
9207,"02/12/15 8:31",20.6,22.195,358,647,0.003324453,1
14182,"02/15/15 19:25",20.39,32.7,0,659,0.00484664,0
12938,"02/14/15 22:41",19.89,35.96666667,0,528,0.005171082,0
14376,"02/15/15 22:40",20.29,30.79,0,709.5,0.004533174,0
517,"02/05/15 2:26",21.05,24.945,0,440,0.003844489,0
2774,"02/04/15 10:13",23.745,26.2,754,1123,0.004763993,1
103,"02/04/15 19:33",22.1,27.2,0,563,0.004474738,0
5348,"02/08/15 10:58",19.23,30.53333333,31,433.6666667,0.00420699,0
10349,"02/13/15 3:33",20.89,24.35,0,582,0.003715286,0
9545,"02/12/15 14:09",23.89,24.245,148,643.5,0.004444868,0
321,"02/02/15 17:19",22.5,24.865,433,816.5,0.004189492,1
4172,"02/07/15 15:22",21.79,18.29,52,442,0.002945339,0
15316,"02/16/15 14:19",21.7,28.7675,469,908.75,0.004619519,1
5897,"02/08/15 20:06",19.39,27.6,0,434.5,0.003838647,0
5611,"02/08/15 15:21",20.15,26.2675,52.25,423.75,0.00382969,0
2247,"02/04/15 1:25",20.79,24.945,0,516.25,0.003783128,0
10973,"02/13/15 13:57",23.6,26.1,631.25,554.75,0.0047041,1
16,"02/04/15 18:06",23,27.125,418.5,680.5,0.004714942,1
13669,"02/15/15 10:53",21.73,29.29,85.66666667,631.6666667,0.004712757,0
15342,"02/16/15 14:45",21.7675,28.79,469,911,0.004642415,1
988,"02/05/15 10:18",22.1,26.65,469,1050,0.004383619,1
15990,"02/17/15 1:34",20.05,30.34,0,714.5,0.004400155,0
7810,"02/10/15 4:00",20.2,32.9,0,448.5,0.004819147,0
8274,"02/11/15 16:58",21.9175,30.39,433,801.75,0.004947925,1
14232,"02/15/15 20:16",20.42666667,32.32666667,0,684.6666667,0.004801824,0
14193,"02/15/15 19:37",20.5,32.7,0,668,0.004879923,0
15720,"02/16/15 21:04",20.39,30.2,0,722,0.004473437,0
15287,"02/16/15 13:51",21.5,28.125,454,830,0.004460282,1
2344,"02/06/15 8:54",20.89,19.79,433,647.3333333,0.003016154,1
149,"02/04/15 20:19",21.7,26.89,0,526,0.004315936,0
7140,"02/09/15 16:50",22.1,38.845,433,2000.25,0.006410229,1
16484,"02/17/15 9:48",21.2,31.39,433,942.5,0.004890715,1
2346,"02/06/15 8:55",20.82333333,19.73,433,642.6666667,0.002994596,1
2450,"02/06/15 10:40",21.4725,21.0475,504,832.25,0.003326228,1
91,"02/04/15 19:21",22.2,27.2,0,577,0.004502283,0
7349,"02/09/15 20:19",20.5,34.79,0,917,0.005194424,0
4816,"02/08/15 2:06",19.445,30.55,0,433,0.004266418,0
5878,"02/08/15 19:47",19.39,27.7,0,434,0.003852641,0
14396,"02/15/15 22:59",20.2,30.39,0,727.5,0.004448856,0
15305,"02/16/15 14:09",21.6,28.5225,454,868.5,0.004551757,1
14713,"02/16/15 4:17",20.39,26.2,0,844,0.003877236,0
6782,"02/09/15 10:52",21.025,32.7,454,1315,0.005041568,1
8619,"02/11/15 22:43",20.55,28.1,0,499,0.004201856,0
5232,"02/08/15 9:02",19.2675,31.175,30.5,430.75,0.004306131,0
7453,"02/09/15 22:02",20.46333333,33.36333333,0,621.6666667,0.004968361,0
17335,"02/17/15 23:58",20.89,29.5,0,1202.5,0.004506758,0
8102,"02/10/15 8:51",20.5,33.79,405,495.5,0.005043906,1
9729,"02/12/15 17:12",22,27.745,423.5,621,0.004537103,1
5261,"02/08/15 9:30",19.29,30.89,75.5,435,0.004272519,0
553,"02/02/15 21:11",20.934,22.934,0,488,0.003507553,0
2726,"02/04/15 9:24",22.1,26.1,596,936.5,0.004292526,1
11152,"02/13/15 16:56",21.675,31.7,444,625.25,0.005086435,1
1487,"02/03/15 12:46",22.84,26.5,651,1022,0.004560757,1
9770,"02/12/15 17:54",21.89,28.1,0,613.5,0.004564614,0
14378,"02/15/15 22:41",20.26,30.76,0,717.6666667,0.004520273,0
517,"02/02/15 20:36",21,23.29,0,508.5,0.00357688,0
11705,"02/14/15 2:09",19.79,36.09,0,500,0.005156614,0
2755,"02/04/15 9:53",23.1,25.5,690,997,0.00445755,1
12313,"02/14/15 12:16",20.79,34.5,220,501,0.005244446,0
1907,"02/06/15 1:37",20.39,20.05,0,434,0.002962786,0
8895,"02/12/15 3:19",20.6,24.795,0,576,0.003716218,0
11808,"02/14/15 3:52",19.6,36.4,0,502,0.005139774,0
3310,"02/07/15 1:00",20,18.65,0,434.5,0.002689047,0
6670,"02/09/15 9:00",19.745,28.05,389,541,0.003989226,1
12911,"02/14/15 22:14",19.89,35.7,0,530,0.005132426,0
2310,"02/06/15 8:19",20.89,19.72,419,575.25,0.003005434,1
11768,"02/14/15 3:11",19.79,36.4,0,504.5,0.005201278,0
7614,"02/10/15 0:43",20.39,32.9,0,479,0.004876516,0
12197,"02/14/15 10:21",20.03333333,36.53,25,508.6666667,0.005300018,0
15056,"02/16/15 10:00",21.65,27,543,1003,0.004320392,1
8946,"02/12/15 4:09",20.6,24.9,0,573,0.003732049,0
6050,"02/08/15 22:40",19.5,27.79,0,451,0.003891944,0
1538,"02/03/15 13:37",23.2,25.5,629,899,0.004484778,0
17632,"02/18/15 4:56",20.79,26.2,0,1570,0.003974676,0
16991,"02/17/15 18:15",22.05,34.245,0,1550.5,0.005626912,0
15878,"02/16/15 23:42",20.2,30.55,0,711.5,0.004472447,0
16212,"02/17/15 5:16",20.6,30.29,0,745,0.004545815,0
1459,"02/03/15 12:17",22.39,27.254,616,1061.8,0.004564139,1
8738,"02/12/15 0:42",20.6,26.77,0,515.25,0.004014136,0
1102,"02/03/15 6:21",20.29,22.76,0,433.3333333,0.00334457,0
12759,"02/14/15 19:43",19.89,35.4,0,518,0.005088944,0
864,"02/03/15 2:23",20.5,22.29,0,438.25,0.003318119,0
8446,"02/11/15 19:50",21,29.55,0,520,0.004545317,0
8460,"02/11/15 20:04",21,29.4475,0,552,0.004529436,0
4736,"02/08/15 0:46",19.6,29.92666667,0,437.5,0.004219522,0
3482,"02/07/15 3:52",19.79,19.2,0,438,0.002732733,0
2089,"02/06/15 4:38",20.5,18.7,0,434,0.002781317,0
